Rank,Player,Year,Team,Price (Cr),Prior WAR,Predicted (Cr),Overpaid (Cr),Premium %,Next WAR,Shortfall,Dud Score
83,Mohammed Shami,2022,GT,6.885026737967914,6.392883386610968,5.256281189508168,1.6287455484597464,30.986651774087235,15.185885167464122,-8.793001780853153,39.00523560209424
84,Johan Botha,2011,RR,8.309760956175298,4.247506301433499,6.729017119185442,1.580743836989856,23.491452154028813,6.482104850427067,-2.234598548993568,48.16753926701571
85,Subramaniam Badrinath,2011,CSK,7.386454183266932,8.792693661971832,5.89837869127327,1.488075491993662,25.228551266050275,0.4222591362126238,8.370434525759208,70.94240837696336
86,Bhuvneshwar Kumar,2018,SRH,11.542518127883982,12.829298282362794,10.16123340541336,1.381284722470621,13.593671824669892,12.041405253239986,0.7878930291228077,53.1413612565445
87,Axar Patel,2022,DC,9.914438502673796,9.223554946570482,8.545541884921514,1.3688966177522826,16.018839251934168,21.554754784688996,-12.331199838118513,30.49738219895288
88,Pat Cummins,2022,KKR,7.9866310160427805,3.951631268639989,6.634075615940821,1.3525554001019593,20.388000957540257,10.5680412752935,-6.61641000665351,39.26701570680628
89,David Warner,2022,DC,6.885026737967914,0.2283736230110165,5.547822295400588,1.3372044425673266,24.103231346756253,8.9921875,-8.763813876988984,36.38743455497382
90,Ambati Rayudu,2022,CSK,7.4358288770053464,9.772070073439412,6.1824413229054125,1.253387554099934,20.273343306247664,4.02734375,5.744726323439412,65.96858638743456
91,Shubman Gill,2022,GT,8.81283422459893,6.741623317013463,7.585298894001303,1.227535330597627,16.1830845132339,31.6796875,-24.938064182986537,27.225130890052355
92,Shane Watson,2014,RR,20.054517133956384,25.732835656316148,18.883481196179545,1.1710359377768391,6.201377413470563,8.24187125187406,17.49096440444209,70.94240837696336
93,AB de Villiers,2014,RCB,15.241433021806852,19.841494648318044,14.229949815468578,1.0114832063382746,7.10812911819793,23.10183531746032,-3.260340669142277,41.361256544502616
94,Virender Sehwag,2011,DC,16.619521912350596,21.839755721830983,15.663258471349163,0.9562634410014326,6.105137336210122,19.884404249308215,1.9553514725227679,53.66492146596859
95,Dinesh Karthik,2022,RCB,6.0588235294117645,5.905263157894737,5.134616917354776,0.9242066120569881,17.999524150150535,3.0078125,2.897450657894737,61.2565445026178
96,Quinton De Kock,2022,LSG,7.4358288770053464,3.787201652386777,6.581893113910246,0.8539357630951008,12.974014441079017,3.79296875,-0.005767097613222916,51.047120418848166
97,Rahul Chahar,2022,PBK,5.783422459893049,5.343818279936648,4.998016740012335,0.7854057198807141,15.714347524949982,11.493966806220094,-6.150148526283446,38.481675392670155
98,Lasith Malinga,2014,MI,8.82398753894081,7.950212450011751,8.038608092736288,0.7853794462045212,9.770092497906354,12.48872479682778,-4.538512346816029,40.31413612565445
99,RP Singh,2011,KTK,4.616533864541832,0.4673965669014071,3.9544646893219806,0.6620691752198518,16.742321078440785,4.07683783926649,-3.6094412723650833,43.97905759162303
100,Shreyas Iyer,2018,DC,9.50560316413975,9.94949989526603,8.848731343258066,0.6568718208816833,7.4233446061413115,3.229492187499993,6.720007707766037,62.56544502617801
101,Tillakaratne Dilshan,2011,RCB,6.001494023904383,-0.4168078785211282,5.378555610509181,0.6229384133952012,11.58189035320262,-1.4554748231121213,1.038666944590993,53.403141361256544
102,Venkatesh Iyer,2022,KKR,8.81283422459893,8.702688176180702,8.334424646354806,0.4784095782441238,5.740163221145251,11.125,-2.4223118238192978,41.36125654450262
103,Lakshmipathy Balaji,2011,KKR,4.385707171314741,0.7013809419014057,3.999153121172716,0.38655405014202504,9.66589771458092,12.214392765627792,-11.513011823726387,28.534031413612563
104,Kieron Pollard,2014,MI,12.03271028037383,15.727939014349566,11.678978240694956,0.35373203967887434,3.0287926939217034,15.543220577211397,0.18471843713816938,48.42931937172775
105,Ishant Sharma,2011,DCH,3.9240537848605577,-1.520642605633803,3.5943648551361296,0.3296889297244281,9.172383522872549,5.855769230769226,-7.3764118364030296,34.29319371727749
106,Shivam Dube,2022,CSK,4.406417112299465,1.4049028103751002,4.136583028721479,0.2698340835779858,6.5231153757690965,14.37890625,-12.9740034396249,26.43979057591623
107,Harbhajan Singh,2014,MI,15.241433021806852,20.95516790167019,15.011767073195147,0.22966594861170542,1.5299061562298986,12.120572191582784,8.834595710087406,63.35078534031413
