player_id,canonical_name,aliases
P0122,B Kumar,B Kumar|Bhuvneshwar Kumar
P0123,B Lee,B Lee|Brett Lee
P0124,B Sai Sudharsan,B Sai Sudharsan
P0125,BA Bhatt,BA Bhatt
P0126,BA Stokes,BA Stokes|Ben Stokes|Benjamin Stokes
P0127,Brendon McCullum,BB McCullum|Brendon McCullum
P0128,Ben Cutting,BCJ Cutting|Ben Cutting
P0129,Beuran Hendricks,BE Hendricks|Beuran Hendricks
P0130,Brad Hodge,BJ Hodge|Brad Hodge
P0131,Baba Aparajith,Baba Aparajith
P0132,Baba Indrajith,Baba Indrajith
P0133,Baltej Dhanda,Baltej Dhanda
P0134,Bandaru Ayyappa,Bandaru Ayyappa
P0135,Barinder Singh Saran,Barinder Singh Saran
P0136,Barinder Singh Sran,Barinder Singh Sran
P0137,Basil Thampi,Basil Thampi
P0138,Ben Duckett,Ben Duckett
P0139,Ben Dunk,Ben Dunk
P0140,Ben Dwarshuis,Ben Dwarshuis
P0141,Ben Hilfenhaus,Ben Hilfenhaus
P0142,Ben Laughlin,Ben Laughlin
P0143,Ben McDermott,Ben McDermott
P0144,Benny Howell,Benny Howell
P0145,Bhagath Varma,Bhagath Varma
P0146,Bhagath Verma,Bhagath Verma
P0147,Bhanuka Rajapaksa,Bhanuka Rajapaksa
P0148,Billy Stanlake,Billy Stanlake
P0149,Bipul Sharma,Bipul Sharma
P0150,Brad Haddin,Brad Haddin
P0151,Brad Hogg,Brad Hogg
P0152,Brendan Taylor,Brendan Taylor
P0153,Brijesh Sharma,Brijesh Sharma
P0154,C Hari Nishaanth,C Hari Nishaanth|Hari Nishanth
P0155,C M Gautam,C M Gautam
P0156,C Munro,C Munro
P0157,Colin De Grandhomme,C de Grandhomme|Colin De Grandhomme
P0158,CA Lynn,CA Lynn
P0159,CA Pujara,CA Pujara
P0160,CH Gayle,CH Gayle|Chris Gayle|Christopher Gayle
P0161,CH Morris,CH Morris
P0162,CJ Anderson,CJ Anderson
P0163,CJ Ferguson,CJ Ferguson
P0164,CJ Jordan,CJ Jordan
P0165,Cameron White,CL White|Cameron White
P0166,CR Brathwaite,CR Brathwaite
P0167,CV Varun,CV Varun
P0168,Callum Ferguson,Callum Ferguson
P0169,Cameron Delport,Cameron Delport
P0170,Cameron Green,Cameron Green
P0171,Carlos Brathwaite,Carlos Brathwaite
P0172,Chaitanya Bishnoi,Chaitanya Bishnoi
P0173,Chama Milind,Chama Milind
P0174,Chamika Karunaratne,Chamika Karunaratne
P0175,WPUJC Vaas,Chaminda Vaas|WPUJC Vaas
P0176,Charl Langeveldt,Charl Langeveldt
P0177,Chetan Sakariya,Chetan Sakariya
P0178,Cheteshwar Pujara,Cheteshwar Pujara
P0179,Chirag Suri,Chirag Suri
P0180,Chris Green,Chris Green
P0181,Chris Jordan,Chris Jordan
