Rank,Player,Year,Team,Price (Cr),Prior WAR,Predicted (Cr),Premium %,Next WAR,Shortfall,Dud Score
37,Devdutt Padikkal,2022,RR,8.537433155080214,7.690988372093024,4.063013018951956,110.12566573765059,4.4609375,3.230050872093024,73.09236947791165
38,Krunal Pandya,2018,MI,11.949901120632829,17.44646103896104,6.511275014697626,83.52628469322556,13.789503056877937,3.656957982083103,71.88755020080322
39,Shahrukh Khan,2024,GT,7.4,5.828125,2.102526850074508,251.95745537032096,5.983515305153078,-0.1553903051530776,71.7871485943775
40,Sanju Samson,2018,RR,10.863546473302572,12.5767569124424,5.145478453785321,111.12801405884225,9.856188322368418,2.7205685900739827,71.6867469879518
41,KL Rahul,2018,PBK,14.937376400791036,13.27574494949495,5.322321903603506,180.65526045460734,12.345446134868418,0.9302988146265321,71.4859437751004
42,Umesh Yadav,2018,RCB,5.703361898483851,2.6557497207093927,3.1851692416409816,79.05993263784974,-1.029172205449416,3.6849219261588084,71.0843373493976
43,Glenn Maxwell,2018,DC,12.221489782465394,20.46926406926407,12.00274723039539,1.8224373793031954,1.2530261093764867,19.216237959887586,70.88353413654619
44,Shardul Thakur,2024,CSK,4.0,3.440460526315793,1.8733206682803443,113.52457524914234,1.6119196313541444,1.8285408949616486,70.48192771084337
45,Ravindra Jadeja,2011,KTK,8.771414342629482,10.412526732316412,4.634334522154413,89.27020267306514,7.631980436464989,2.7805462958514227,70.28112449799197
46,Zaheer Khan,2011,MI,8.309760956175298,8.199862455985908,4.164205109984365,99.55215309282637,6.090351778163926,2.109510677821982,70.08032128514057
47,Shikhar Dhawan,2022,PBK,9.088235294117649,12.064106487148102,5.019524521537116,81.05769291738774,9.02734375,3.036762737148102,69.67871485943775
48,Manish Pandey,2022,LSG,5.067379679144385,5.078167074663401,3.5808949596994,41.51154211934126,-0.37109375,5.449260824663401,69.07630522088353
49,Aaron Finch,2018,PBK,8.419248516809494,12.853032048596573,8.30570611609154,1.367040912969167,-0.0839506172839534,12.936982665880526,68.67469879518072
50,Robin Uthappa,2014,KKR,8.021806853582554,8.623232033639141,4.250312181868736,88.73453314329498,6.514409722222226,2.1088223114169153,68.67469879518072
