match_number,team1,team2,match_date,toss_winner,toss_decision,result,eliminator,winner,player_of_match,venue,city,team1_players,team2_players,match_type,gender,event_name
1144172,South Africa,Sri Lanka,2019-03-19,South Africa,field,No Result,NA,,DA Miller,Newlands,Cape Town,"Q de Kock, RR Hendricks, F du Plessis, HE van der Dussen, DA Miller, JP Duminy, AL Phehlukwayo, K Rabada, DW Steyn, Imran Tahir, L Sipamla","N Dickwella, WIA Fernando, BKG Mendis, PHKD Mendis, AK Perera, NLTC Perera, DM de Silva, I Udana, A Dananjaya, SL Malinga, JDF Vandersay",T20,male,Sri Lanka tour of South Africa
1185314,South Africa,England,2020-02-14,South Africa,field,Win,NA,England,MM Ali,Kingsmead,Durban,"T Bavuma, Q de Kock, DA Miller, HE van der Dussen, JT Smuts, AL Phehlukwayo, D Pretorius, BC Fortuin, BE Hendricks, T Shamsi, L Ngidi","JJ Roy, JC Buttler, JM Bairstow, EJG Morgan, BA Stokes, JL Denly, MM Ali, CJ Jordan, TK Curran, AU Rashid, MA Wood",T20,male,England tour of South Africa
1501896,South Africa,Pakistan,2025-10-31,Pakistan,field,Win,NA,Pakistan,Salman Mirza,"Gaddafi Stadium, Lahore",Lahore,"RR Hendricks, Q de Kock, T de Zorzi, D Brevis, MP Breetzke, D Ferreira, GF Linde, C Bosch, N Burger, OEG Baartman, L Ngidi","Sahibzada Farhan, Saim Ayub, Babar Azam, Agha Salman, Usman Khan, Hassan Nawaz, Mohammad Nawaz, Faheem Ashraf, Naseem Shah, Salman Mirza, Abrar Ahmed",T20,male,South Africa tour of Pakistan
1496937,India,Sri Lanka,2025-09-26,Sri Lanka,field,No Result,NA,,P Nissanka,Dubai International Cricket Stadium,Dubai,"Abhishek Sharma, Shubman Gill, SA Yadav, Tilak Varma, SV Samson, HH Pandya, AR Patel, Harshit Rana, Kuldeep Yadav, CV Varun, Arshdeep Singh","P Nissanka, BKG Mendis, MDKJ Perera, KIC Asalanka, PHKD Mendis, MD Shanaka, J Liyanage, PWH de Silva, M Theekshana, PVD Chameera, N Thushara",T20,male,Men's T20 Asia Cup
1433369,South Africa,West Indies,2024-08-27,West Indies,field,Win,NA,West Indies,R Shepherd,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,"RD Rickelton, RR Hendricks, AK Markram, T Stubbs, JF Smith, PWA Mulder, PE Kruger, BC Fortuin, LB Williams, KT Maphaka, OEG Baartman","A Athanaze, SD Hope, N Pooran, SO Hetmyer, RL Chase, FA Allen, R Shepherd, AJ Hosein, G Motie, MW Forde, OC McCoy",T20,male,South Africa tour of West Indies
1512756,Sri Lanka,Zimbabwe,2026-02-19,Sri Lanka,bat,Win,NA,Zimbabwe,Sikandar Raza,"R Premadasa Stadium, Colombo",Colombo,"P Nissanka, MDKJ Perera, BKG Mendis, P Rathnayake, PHKD Mendis, MD Shanaka, DN Wellalage, MADI Hemantha, M Theekshana, D Madushanka, PM Liyanagamage","BJ Bennett, T Marumani, RP Burl, Sikandar Raza, T Musekiwa, T Munyonga, D Myers, B Evans, WP Masakadza, AG Cremer, B Muzarabani",T20,male,ICC Men's T20 World Cup
1202244,India,Sri Lanka,2020-01-10,Sri Lanka,field,Win,NA,India,SN Thakur,Maharashtra Cricket Association Stadium,Pune,"KL Rahul, S Dhawan, SV Samson, MK Pandey, SS Iyer, V Kohli, Washington Sundar, SN Thakur, YS Chahal, JJ Bumrah, Navdeep Saini","MD Gunathilaka, WIA Fernando, MDKJ Perera, BOP Fernando, AD Mathews, DM de Silva, MD Shanaka, PWH de Silva, PADLR Sandakan, SL Malinga, CBRLS Kumara",T20,male,Sri Lanka tour of India
915785,Sri Lanka,West Indies,2015-11-11,West Indies,bat,Win,NA,West Indies,DJ Bravo,R Premadasa Stadium,Colombo,"MDKJ Perera, TM Dilshan, GSNFG Jayasuriya, LD Chandimal, AD Mathews, TAM Siriwardana, CK Kapugedera, SMSM Senanayake, KMDN Kulasekara, SL Malinga, PVD Chameera","ADS Fletcher, J Charles, MN Samuels, DJ Bravo, AD Russell, D Ramdin, KA Pollard, DJG Sammy, SP Narine, JE Taylor, R Rampaul",T20,male,West Indies in Sri Lanka T20I Series
1478911,India,Australia,2025-11-08,Australia,field,No Result,NA,,,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,"Abhishek Sharma, Shubman Gill, SA Yadav, RK Singh, AR Patel, S Dube, JM Sharma, Washington Sundar, Arshdeep Singh, CV Varun, JJ Bumrah","MR Marsh, MW Short, JP Inglis, TH David, JR Philippe, MP Stoinis, GJ Maxwell, BJ Dwarshuis, XC Bartlett, NT Ellis, A Zampa",T20,male,India tour of Australia
966751,India,Pakistan,2016-02-27,India,field,Win,NA,India,V Kohli,Shere Bangla National Stadium,Mirpur,"RG Sharma, AM Rahane, V Kohli, SK Raina, Yuvraj Singh, HH Pandya, MS Dhoni, RA Jadeja, R Ashwin, JJ Bumrah, A Nehra","Mohammad Hafeez, Sharjeel Khan, Khurram Manzoor, Shoaib Malik, Umar Akmal, Sarfraz Ahmed, Shahid Afridi, Wahab Riaz, Mohammad Sami, Mohammad Amir, Mohammad Irfan",T20,male,Asia Cup
1373570,South Africa,Australia,2023-09-03,South Africa,bat,Win,NA,Australia,TM Head,"Kingsmead, Durban",Durban,"RR Hendricks, T Bavuma, MP Breetzke, AK Markram, T Stubbs, D Ferreira, BC Fortuin, G Coetzee, KA Maharaj, L Ngidi, LB Williams","MW Short, TM Head, MR Marsh, JP Inglis, MP Stoinis, TH David, AJ Turner, SA Abbott, NT Ellis, SH Johnson, T Sangha",T20,male,Australia tour of South Africa
1351401,England,Bangladesh,2023-03-12,Bangladesh,field,Win,NA,Bangladesh,Mehedi Hasan Miraz,"Shere Bangla National Stadium, Mirpur",Dhaka,"PD Salt, DJ Malan, MM Ali, JC Buttler, BM Duckett, SM Curran, CR Woakes, CJ Jordan, Rehan Ahmed, AU Rashid, JC Archer","Liton Das, Rony Talukdar, Nazmul Hossain Shanto, Towhid Hridoy, Mehedi Hasan Miraz, Shakib Al Hasan, Afif Hossain, Taskin Ahmed, Nasum Ahmed, Hasan Mahmud, Mustafizur Rahman",T20,male,England tour of Bangladesh
1298174,Netherlands,South Africa,2022-11-06,South Africa,field,Win,NA,Netherlands,CN Ackermann,Adelaide Oval,Adelaide,"SJ Myburgh, MP O'Dowd, TLW Cooper, CN Ackermann, BFW de Leede, SA Edwards, RE van der Merwe, LV van Beek, FJ Klaassen, PA van Meekeren, BD Glover","Q de Kock, T Bavuma, RR Rossouw, AK Markram, DA Miller, H Klaasen, WD Parnell, KA Maharaj, K Rabada, A Nortje, L Ngidi",T20,male,ICC Men's T20 World Cup
1415719,India,Pakistan,2024-06-09,Pakistan,field,Win,NA,India,JJ Bumrah,"Nassau County International Cricket Stadium, New York",New York,"RG Sharma, V Kohli, RR Pant, AR Patel, SA Yadav, S Dube, HH Pandya, RA Jadeja, Arshdeep Singh, JJ Bumrah, Mohammed Siraj","Mohammad Rizwan, Babar Azam, Usman Khan, Fakhar Zaman, Imad Wasim, Shadab Khan, Iftikhar Ahmed, Shaheen Shah Afridi, Naseem Shah, Mohammad Amir, Haris Rauf",T20,male,ICC Men's T20 World Cup
1388216,New Zealand,Pakistan,2024-01-12,Pakistan,field,Win,NA,New Zealand,DJ Mitchell,"Eden Park, Auckland",Auckland,"FH Allen, DP Conway, KS Williamson, DJ Mitchell, GD Phillips, MS Chapman, AF Milne, IS Sodhi, MJ Henry, TG Southee, BV Sears","Saim Ayub, Mohammad Rizwan, Babar Azam, Fakhar Zaman, Iftikhar Ahmed, Azam Khan, Shaheen Shah Afridi, Aamer Jamal, Usama Mir, Abbas Afridi, Haris Rauf",T20,male,Pakistan tour of New Zealand
1444653,Zimbabwe,Pakistan,2024-12-03,Zimbabwe,bat,Win,NA,Pakistan,Sufiyan Muqeem,"Queens Sports Club, Bulawayo",Bulawayo,"BJ Bennett, T Marumani, D Myers, Sikandar Raza, RP Burl, C Madande, T Musekiwa, WP Masakadza, R Ngarava, B Muzarabani, T Gwandu","Omair Yousuf, Saim Ayub, Usman Khan, Agha Salman, Tayyab Tahir, Irfan Khan, Jahandad Khan, Abbas Afridi, Abrar Ahmed, Haris Rauf, Sufiyan Muqeem",T20,male,Pakistan tour of Zimbabwe
1389391,Australia,India,2023-11-23,India,field,Win,NA,India,SA Yadav,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,"SPD Smith, MW Short, JP Inglis, MP Stoinis, TH David, AM Hardie, MS Wade, SA Abbott, NT Ellis, JP Behrendorff, T Sangha","YBK Jaiswal, RD Gaikwad, Ishan Kishan, SA Yadav, Tilak Varma, RK Singh, AR Patel, Ravi Bishnoi, Arshdeep Singh, Mukesh Kumar, M Prasidh Krishna",T20,male,Australia tour of India
1276914,South Africa,England,2022-07-28,England,field,Win,NA,South Africa,RR Rossouw,"Sophia Gardens, Cardiff",Cardiff,"Q de Kock, RR Hendricks, RR Rossouw, H Klaasen, T Stubbs, DA Miller, AL Phehlukwayo, K Rabada, KA Maharaj, L Ngidi, T Shamsi","JJ Roy, JC Buttler, DJ Malan, MM Ali, JM Bairstow, SM Curran, LS Livingstone, CJ Jordan, AU Rashid, RJ Gleeson, RJW Topley",T20,male,South Africa tour of England
1187020,India,West Indies,2019-12-11,West Indies,field,Win,NA,India,KL Rahul,Wankhede Stadium,Mumbai,"RG Sharma, KL Rahul, RR Pant, V Kohli, SS Iyer, S Dube, Washington Sundar, Kuldeep Yadav, B Kumar, Mohammed Shami, DL Chahar","LMP Simmons, BA King, SO Hetmyer, N Pooran, KA Pollard, JO Holder, HR Walsh, K Pierre, KOK Williams, SS Cottrell, E Lewis",T20,male,West Indies tour of India
1034827,India,England,2017-01-29,England,field,Win,NA,India,JJ Bumrah,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,"V Kohli, KL Rahul, SK Raina, Yuvraj Singh, MK Pandey, MS Dhoni, HH Pandya, A Mishra, JJ Bumrah, A Nehra, YS Chahal","JJ Roy, SW Billings, JE Root, EJG Morgan, BA Stokes, JC Buttler, MM Ali, CJ Jordan, LA Dawson, TS Mills, AU Rashid",T20,male,England in India T20I Series
1439894,India,Bangladesh,2024-10-09,Bangladesh,field,Win,NA,India,Nithish Kumar Reddy,"Arun Jaitley Stadium, Delhi",Delhi,"SV Samson, Abhishek Sharma, SA Yadav, Nithish Kumar Reddy, RK Singh, HH Pandya, R Parag, Washington Sundar, CV Varun, Arshdeep Singh, MP Yadav","Parvez Hossain Emon, Liton Das, Nazmul Hossain Shanto, Towhid Hridoy, Mehedi Hasan Miraz, Mahmudullah, Jaker Ali, Rishad Hossain, Tanzim Hasan Sakib, Taskin Ahmed, Mustafizur Rahman",T20,male,Bangladesh tour of India
1339606,West Indies,South Africa,2023-03-28,South Africa,field,Win,NA,West Indies,AS Joseph,"The Wanderers Stadium, Johannesburg",Johannesburg,"BA King, KR Mayers, J Charles, N Pooran, R Powell, RA Reifer, JO Holder, RL Chase, R Shepherd, AS Joseph, SS Cottrell","Q de Kock, RR Hendricks, RR Rossouw, DA Miller, AK Markram, H Klaasen, WD Parnell, BC Fortuin, K Rabada, A Nortje, L Ngidi",T20,male,West Indies tour of South Africa
1322363,Sri Lanka,New Zealand,2023-04-05,New Zealand,field,Win,NA,New Zealand,AF Milne,"University Oval, Dunedin",Dunedin,"P Nissanka, BKG Mendis, MDKJ Perera, DM de Silva, KIC Asalanka, MD Shanaka, PWH de Silva, M Theekshana, PM Liyanagamage, CAK Rajitha, D Madushanka","CJ Bowes, TL Seifert, TWM Latham, DJ Mitchell, MS Chapman, JDS Neesham, R Ravindra, AF Milne, HB Shipley, IS Sodhi, BG Lister",T20,male,Sri Lanka tour of New Zealand
1168247,India,Australia,2019-02-24,Australia,field,Win,NA,Australia,NM Coulter-Nile,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,"RG Sharma, KL Rahul, V Kohli, RR Pant, MS Dhoni, KD Karthik, KH Pandya, UT Yadav, YS Chahal, M Markande, JJ Bumrah","DJM Short, MP Stoinis, AJ Finch, GJ Maxwell, PSP Handscomb, AJ Turner, NM Coulter-Nile, PJ Cummins, JA Richardson, JP Behrendorff, A Zampa",T20,male,Australia tour of India
1428155,Scotland,Ireland,2024-05-23,Scotland,bat,Win,NA,Ireland,A Balbirnie,"Sportpark Westvliet, The Hague",The Hague,"HG Munsey, OJ Hairs, MA Jones, RD Berrington, MH Cross, MA Leask, CN Greaves, MRJ Watt, CB Sole, SM Sharif, BJ Currie","A Balbirnie, PR Stirling, L Tucker, HT Tector, C Campher, GH Dockrell, GJ Delany, MR Adair, BJ McCarthy, CA Young, B White",T20,male,Netherlands Tri-Nation T20I Series
1115798,New Zealand,West Indies,2017-12-29,West Indies,field,Win,NA,New Zealand,GD Phillips,Saxton Oval,Nelson,"MJ Guptill, C Munro, GD Phillips, TC Bruce, LRPL Taylor, AK Kitchen, MJ Santner, DAJ Bracewell, TG Southee, IS Sodhi, SHA Rance","CAK Walton, CH Gayle, ADS Fletcher, SD Hope, JN Mohammed, R Powell, CR Brathwaite, AR Nurse, KOK Williams, JE Taylor, S Badree",T20,male,West Indies tour of New Zealand
533280,New Zealand,Pakistan,2012-09-23,Pakistan,bat,Win,NA,Pakistan,Nasir Jamshed,Pallekele International Cricket Stadium,,"RJ Nicol, KS Williamson, BB McCullum, DL Vettori, JDP Oram, LRPL Taylor, JEC Franklin, NL McCullum, TG Southee, KD Mills, AF Milne","Mohammad Hafeez, Imran Nazir, Nasir Jamshed, Kamran Akmal, Umar Akmal, Shoaib Malik, Shahid Afridi, Yasir Arafat, Sohail Tanvir, Umar Gul, Saeed Ajmal",T20,male,ICC World Twenty20
1140384,England,Sri Lanka,2018-10-27,Sri Lanka,field,Win,NA,England,JL Denly,"R.Premadasa Stadium, Khettarama",Colombo,"JJ Roy, JC Buttler, AD Hales, EJG Morgan, BA Stokes, MM Ali, JL Denly, AU Rashid, LE Plunkett, CJ Jordan, TK Curran","N Dickwella, BKG Mendis, LD Chandimal, DM de Silva, PHKD Mendis, NLTC Perera, MD Shanaka, I Udana, MA Aponso, SL Malinga, PADLR Sandakan",T20,male,England tour of Sri Lanka
1419825,Sri Lanka,Bangladesh,2024-03-06,Bangladesh,field,Win,NA,Bangladesh,Nazmul Hossain Shanto,Sylhet International Cricket Stadium,Sylhet,"WIA Fernando, BKG Mendis, PHKD Mendis, S Samarawickrama, KIC Asalanka, AD Mathews, MD Shanaka, M Theekshana, B Fernando, M Pathirana, D Madushanka","Liton Das, Soumya Sarkar, Nazmul Hossain Shanto, Towhid Hridoy, Mahmudullah, Jaker Ali, Mahedi Hasan, Rishad Hossain, Taskin Ahmed, Shoriful Islam, Mustafizur Rahman",T20,male,Sri Lanka tour of Bangladesh
1130747,Sri Lanka,Bangladesh,2018-02-18,Bangladesh,field,Win,NA,Sri Lanka,BKG Mendis,Sylhet International Cricket Stadium,,"MD Gunathilaka, BKG Mendis, NLTC Perera, WU Tharanga, MD Shanaka, LD Chandimal, BMAJ Mendis, MA Aponso, A Dananjaya, DSK Madushanka, I Udana","Tamim Iqbal, Soumya Sarkar, Mushfiqur Rahim, Mohammad Mithun, Mahmudullah, Ariful Haque, Mohammad Saifuddin, Mahedi Hasan, Mustafizur Rahman, Abu Jayed, Nazmul Islam",T20,male,Sri Lanka tour of Bangladesh
1153843,New Zealand,Sri Lanka,2019-01-11,Sri Lanka,field,Win,NA,New Zealand,DAJ Bracewell,Eden Park,Auckland,"MJ Guptill, C Munro, TL Seifert, HM Nicholls, LRPL Taylor, MJ Santner, DAJ Bracewell, SC Kuggeleijn, TG Southee, IS Sodhi, LH Ferguson","N Dickwella, S Samarawickrama, MDKJ Perera, BKG Mendis, NLTC Perera, DM de Silva, MD Shanaka, CAK Rajitha, SL Malinga, CBRLS Kumara, PADLR Sandakan",T20,male,Sri Lanka tour of New Zealand
1322334,Pakistan,Bangladesh,2022-10-07,Bangladesh,field,Win,NA,Pakistan,Mohammad Rizwan,"Hagley Oval, Christchurch",Christchurch,"Mohammad Rizwan, Babar Azam, Shan Masood, Haider Ali, Iftikhar Ahmed, Asif Ali, Mohammad Nawaz, Shadab Khan, Mohammad Wasim, Haris Rauf, Shahnawaz Dhani","Mehedi Hasan Miraz, Sabbir Rahman, Liton Das, Afif Hossain, Mosaddek Hossain, Nurul Hasan, Yasir Ali Chowdhury, Taskin Ahmed, Nasum Ahmed, Hasan Mahmud, Mustafizur Rahman",T20,male,New Zealand T20I Tri-Series
1251578,South Africa,Pakistan,2021-04-16,Pakistan,field,Win,NA,Pakistan,Faheem Ashraf,"SuperSport Park, Centurion",Centurion,"JN Malan, AK Markram, HE van der Dussen, H Klaasen, GF Linde, PWA Mulder, AL Phehlukwayo, SSB Magala, BC Fortuin, LB Williams, T Shamsi","Mohammad Rizwan, Babar Azam, Fakhar Zaman, Mohammad Hafeez, Haider Ali, Asif Ali, Faheem Ashraf, Mohammad Nawaz (3), Hasan Ali, Shaheen Shah Afridi, Haris Rauf",T20,male,Pakistan tour of South Africa
682935,Bangladesh,West Indies,2014-03-25,Bangladesh,field,Win,NA,West Indies,DR Smith,Shere Bangla National Stadium,Mirpur,"Tamim Iqbal, Anamul Haque, Mominul Haque, Shakib Al Hasan, Mushfiqur Rahim, Sabbir Rahman, Mahmudullah, Ziaur Rahman, Sohag Gazi, Mashrafe Mortaza, Al-Amin Hossain","DR Smith, CH Gayle, LMP Simmons, MN Samuels, DJG Sammy, AD Russell, DJ Bravo, D Ramdin, SP Narine, S Badree, K Santokie",T20,male,World T20
1298154,Ireland,England,2022-10-26,England,field,Win,NA,Ireland,A Balbirnie,Melbourne Cricket Ground,Melbourne,"PR Stirling, A Balbirnie, L Tucker, HT Tector, C Campher, GH Dockrell, GJ Delany, MR Adair, BJ McCarthy, F Hand, J Little","JC Buttler, AD Hales, DJ Malan, BA Stokes, HC Brook, MM Ali, LS Livingstone, SM Curran, CR Woakes, MA Wood, AU Rashid",T20,male,ICC Men's T20 World Cup
914225,New Zealand,Pakistan,2016-01-22,Pakistan,field,Win,NA,New Zealand,CJ Anderson,Westpac Stadium,Wellington,"MJ Guptill, KS Williamson, C Munro, CJ Anderson, LRPL Taylor, GD Elliott, L Ronchi, MJ Santner, AF Milne, MJ McClenaghan, TA Boult","Mohammad Hafeez, Ahmed Shehzad, Mohammad Rizwan, Shoaib Malik, Sarfraz Ahmed, Umar Akmal, Shahid Afridi, Imad Wasim, Anwar Ali, Wahab Riaz, Mohammad Amir",T20,male,Pakistan in New Zealand T20I Series
1348641,Sri Lanka,India,2023-01-05,India,field,Win,NA,Sri Lanka,MD Shanaka,"Maharashtra Cricket Association Stadium, Pune",Pune,"P Nissanka, BKG Mendis, PBB Rajapaksa, KIC Asalanka, DM de Silva, MD Shanaka, PWH de Silva, C Karunaratne, M Theekshana, CAK Rajitha, D Madushanka","Ishan Kishan, Shubman Gill, RA Tripathi, SA Yadav, HH Pandya, DJ Hooda, AR Patel, Shivam Mavi, Umran Malik, YS Chahal, Arshdeep Singh",T20,male,Sri Lanka tour of India
1115809,Pakistan,New Zealand,2018-01-28,Pakistan,bat,Win,NA,Pakistan,Shadab Khan,Bay Oval,Mount Maunganui,"Fakhar Zaman, Ahmed Shehzad, Babar Azam, Sarfraz Ahmed, Haris Sohail, Umar Amin, Faheem Ashraf, Aamer Yamin, Shadab Khan, Mohammad Amir, Rumman Raees","MJ Guptill, KS Williamson, AK Kitchen, TC Bruce, C de Grandhomme, LRPL Taylor, TA Blundell, MJ Santner, TG Southee, IS Sodhi, TA Boult",T20,male,Pakistan tour of New Zealand
1491905,Pakistan,Bangladesh,2025-07-24,Bangladesh,field,Win,NA,Pakistan,Sahibzada Farhan,"Shere Bangla National Stadium, Mirpur",Dhaka,"Sahibzada Farhan, Saim Ayub, Mohammad Haris, Hassan Nawaz, Agha Salman, Hussain Talat, Mohammad Nawaz, Faheem Ashraf, Abbas Afridi, Ahmed Daniyal, Salman Mirza","Tanzid Hasan, Mohammad Naim, Liton Das, Mehedi Hasan Miraz, Jaker Ali, Mahedi Hasan, Shamim Hossain, Mohammad Saifuddin, Nasum Ahmed, Taskin Ahmed, Shoriful Islam",T20,male,Pakistan tour of Bangladesh
1233981,New Zealand,Bangladesh,2021-04-01,Bangladesh,field,Win,NA,New Zealand,FH Allen,Eden Park,Auckland,"MJ Guptill, FH Allen, GD Phillips, DJ Mitchell, MS Chapman, DP Conway, WA Young, TG Southee, AF Milne, TD Astle, LH Ferguson","Mohammad Naim, Soumya Sarkar, Liton Das, Nazmul Hossain Shanto, Afif Hossain, Mosaddek Hossain, Mahedi Hasan, Shoriful Islam, Taskin Ahmed, Rubel Hossain, Nasum Ahmed",T20,male,Bangladesh tour of New Zealand
1336048,New Zealand,England,2023-08-30,England,field,Win,NA,England,BA Carse,"Riverside Ground, Chester-le-Street",Chester-le-Street,"FH Allen, DP Conway, TL Seifert, GD Phillips, MS Chapman, DJ Mitchell, MJ Santner, AF Milne, IS Sodhi, TG Southee, LH Ferguson","JM Bairstow, WG Jacks, DJ Malan, HC Brook, LS Livingstone, JC Buttler, MM Ali, SM Curran, AU Rashid, BA Carse, L Wood",T20,male,New Zealand tour of England
1273736,Sri Lanka,South Africa,2021-10-30,South Africa,field,Win,NA,South Africa,T Shamsi,Sharjah Cricket Stadium,Sharjah,"P Nissanka, MDKJ Perera, KIC Asalanka, PBB Rajapaksa, WIA Fernando, PWH de Silva, MD Shanaka, C Karunaratne, PVD Chameera, M Theekshana, CBRLS Kumara","Q de Kock, RR Hendricks, HE van der Dussen, T Bavuma, AK Markram, DA Miller, D Pretorius, K Rabada, KA Maharaj, A Nortje, T Shamsi",T20,male,ICC Men's T20 World Cup
682923,South Africa,Sri Lanka,2014-03-22,Sri Lanka,bat,Win,NA,Sri Lanka,MDKJ Perera,Zahur Ahmed Chowdhury Stadium,Chittagong,"Q de Kock, HM Amla, JP Duminy, AB de Villiers, DA Miller, JA Morkel, F Behardien, DW Steyn, M Morkel, Imran Tahir, LL Tsotsobe","MDKJ Perera, TM Dilshan, DPMD Jayawardene, KC Sangakkara, AD Mathews, LD Chandimal, NLTC Perera, KMDN Kulasekara, SMSM Senanayake, BAW Mendis, SL Malinga",T20,male,World T20
1512737,Zimbabwe,Australia,2026-02-13,Australia,field,Win,NA,Zimbabwe,B Muzarabani,"R Premadasa Stadium, Colombo",Colombo,"BJ Bennett, T Marumani, RP Burl, Sikandar Raza, D Myers, T Munyonga, T Musekiwa, B Evans, WP Masakadza, AG Cremer, B Muzarabani","JP Inglis, TM Head, C Green, TH David, GJ Maxwell, MT Renshaw, MP Stoinis, BJ Dwarshuis, NT Ellis, A Zampa, MP Kuhnemann",T20,male,ICC Men's T20 World Cup
1388220,Pakistan,New Zealand,2024-01-21,Pakistan,bat,Win,NA,Pakistan,Iftikhar Ahmed,"Hagley Oval, Christchurch",Christchurch,"Haseebullah Khan, Mohammad Rizwan, Babar Azam, Fakhar Zaman, Mohammad Nawaz, Iftikhar Ahmed, Sahibzada Farhan, Shaheen Shah Afridi, Abbas Afridi, Usama Mir, Zaman Khan","FH Allen, R Ravindra, TL Seifert, WA Young, MS Chapman, GD Phillips, MJ Santner, MJ Henry, IS Sodhi, TG Southee, LH Ferguson",T20,male,Pakistan tour of New Zealand
1298142,West Indies,Zimbabwe,2022-10-19,West Indies,bat,Win,NA,West Indies,AS Joseph,"Bellerive Oval, Hobart",Hobart,"KR Mayers, J Charles, E Lewis, N Pooran, R Powell, SSJ Brooks, JO Holder, AJ Hosein, OF Smith, AS Joseph, OC McCoy","W Madhevere, RW Chakabva, T Munyonga, SC Williams, Sikandar Raza, M Shumba, RP Burl, LM Jongwe, R Ngarava, TL Chatara, B Muzarabani",T20,male,ICC Men's T20 World Cup
1153697,New Zealand,India,2019-02-08,New Zealand,bat,Win,NA,India,KH Pandya,Eden Park,Auckland,"TL Seifert, C Munro, KS Williamson, DJ Mitchell, LRPL Taylor, C de Grandhomme, MJ Santner, SC Kuggeleijn, TG Southee, IS Sodhi, LH Ferguson","RG Sharma, S Dhawan, RR Pant, V Shankar, MS Dhoni, KD Karthik, HH Pandya, KH Pandya, B Kumar, YS Chahal, KK Ahmed",T20,male,India tour of New Zealand
1213875,Sri Lanka,West Indies,2020-03-06,West Indies,field,Win,NA,West Indies,AD Russell,Pallekele International Cricket Stadium,Kandy,"MDKJ Perera, WIA Fernando, GSNFG Jayasuriya, BKG Mendis, AD Mathews, MD Shanaka, PWH de Silva, NLTC Perera, CBRLS Kumara, SL Malinga, PADLR Sandakan","LMP Simmons, BA King, SO Hetmyer, R Powell, AD Russell, N Pooran, KA Pollard, FA Allen, DJ Bravo, O Thomas, SS Cottrell",T20,male,West Indies tour of Sri Lanka
533279,Australia,West Indies,2012-09-22,West Indies,bat,Win,NA,Australia,SR Watson,R Premadasa Stadium,Colombo,"DA Warner, SR Watson, MEK Hussey, GJ Bailey, CL White, GJ Maxwell, MS Wade, DT Christian, GB Hogg, PJ Cummins, MA Starc","DR Smith, CH Gayle, J Charles, MN Samuels, DJ Bravo, KA Pollard, DJG Sammy, D Ramdin, R Rampaul, SP Narine, FH Edwards",T20,male,ICC World Twenty20
1512760,England,Sri Lanka,2026-02-22,Sri Lanka,field,Win,NA,England,WG Jacks,Pallekele International Cricket Stadium,Kandy,"PD Salt, JC Buttler, JG Bethell, T Banton, HC Brook, SM Curran, WG Jacks, LA Dawson, J Overton, JC Archer, AU Rashid","P Nissanka, K Mishara, BKG Mendis, P Rathnayake, DN Wellalage, PHKD Mendis, MD Shanaka, MADI Hemantha, PVD Chameera, M Theekshana, D Madushanka",T20,male,ICC Men's T20 World Cup
439146,West Indies,South Africa,2010-05-19,West Indies,field,Win,NA,South Africa,R McLaren,"Sir Vivian Richards Stadium, North Sound",Antigua,"CH Gayle, ADS Fletcher, DJ Bravo, RR Sarwan, N Deonarine, KA Pollard, DJG Sammy, NO Miller, JE Taylor, SJ Benn, KAJ Roach","GC Smith, LE Bosman, JH Kallis, AB de Villiers, JP Duminy, J Botha, AN Petersen, R McLaren, RE van der Merwe, DW Steyn, CK Langeveldt",T20,male,South Africa in West Indies T20I Series
1257951,Nepal,Netherlands,2021-04-24,Netherlands,field,Win,NA,Nepal,Karan KC,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,"K Bhurtel, Aasif Sheikh, G Malla, Kushal Malla, DS Airee, B Bhandari, Karan KC, Sompal Kami, A Bohara, KS Airee, S Lamichhane","MP O'Dowd, TP Visee, BN Cooper, BFW de Leede, PM Seelaar, SA Edwards, AJ Staal, TS Braat, PRP Boissevain, PA van Meekeren, VJ Kingma",T20,male,Nepal Tri-Nation T20I Series
412703,Australia,England,2010-05-16,England,field,Win,NA,England,C Kieswetter,"Kensington Oval, Bridgetown",Barbados,"SR Watson, DA Warner, MJ Clarke, BJ Haddin, DJ Hussey, CL White, MEK Hussey, SPD Smith, MG Johnson, SW Tait, DP Nannes","MJ Lumb, C Kieswetter, KP Pietersen, PD Collingwood, EJG Morgan, LJ Wright, TT Bresnan, MH Yardy, GP Swann, SCJ Broad, RJ Sidebottom",T20,male,ICC World Twenty20
