match_number,team1,team2,match_date,toss_winner,toss_decision,result,eliminator,winner,player_of_match,venue,city,team1_players,team2_players,match_type,gender,event_name
1512727,South Africa,Canada,2026-02-09,Canada,field,Win,NA,South Africa,L Ngidi,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,"AK Markram, Q de Kock, RD Rickelton, D Brevis, DA Miller, T Stubbs, M Jansen, C Bosch, K Rabada, KA Maharaj, L Ngidi","DS Bajwa, YS Samra, NS Dhaliwal, NR Kirton, S Movva, H Thaker, Saad Bin Zafar, Jaskaran Singh, D Heyliger, Kaleem Sana, Ansh Patel",T20,male,ICC Men's T20 World Cup
914223,New Zealand,Pakistan,2016-01-17,Pakistan,bat,Win,NA,New Zealand,MJ Guptill,Seddon Park,Hamilton,"MJ Guptill, KS Williamson, C Munro, CJ Anderson, LRPL Taylor, GD Elliott, L Ronchi, MJ Santner, TD Astle, AF Milne, MJ McClenaghan","Mohammad Hafeez, Ahmed Shehzad, Sohaib Maqsood, Shoaib Malik, Umar Akmal, Shahid Afridi, Imad Wasim, Sarfraz Ahmed, Wahab Riaz, Umar Gul, Mohammad Amir",T20,male,Pakistan in New Zealand T20I Series
1322277,New Zealand,India,2022-11-22,New Zealand,bat,No Result,NA,,Mohammed Siraj,"McLean Park, Napier",Napier,"FH Allen, DP Conway, MS Chapman, GD Phillips, DJ Mitchell, JDS Neesham, MJ Santner, AF Milne, IS Sodhi, TG Southee, LH Ferguson","Ishan Kishan, RR Pant, SA Yadav, SS Iyer, HH Pandya, DJ Hooda, HV Patel, B Kumar, Arshdeep Singh, Mohammed Siraj, YS Chahal",T20,male,India tour of New Zealand
1298152,Zimbabwe,South Africa,2022-10-24,Zimbabwe,bat,No Result,NA,,,"Bellerive Oval, Hobart",Hobart,"RW Chakabva, CR Ervine, SC Williams, Sikandar Raza, W Madhevere, M Shumba, RP Burl, LM Jongwe, R Ngarava, TL Chatara, B Muzarabani","Q de Kock, T Bavuma, RR Rossouw, AK Markram, DA Miller, T Stubbs, WD Parnell, KA Maharaj, K Rabada, A Nortje, L Ngidi",T20,male,ICC Men's T20 World Cup
1385697,Australia,England,2024-09-11,England,field,Win,NA,Australia,TM Head,"The Rose Bowl, Southampton",Southampton,"MW Short, TM Head, MR Marsh, JP Inglis, MP Stoinis, TH David, C Green, SA Abbott, XC Bartlett, A Zampa, JR Hazlewood","PD Salt, WG Jacks, JM Cox, LS Livingstone, JG Bethell, SM Curran, J Overton, JC Archer, AU Rashid, S Mahmood, RJW Topley",T20,male,Australia tour of England
1454819,Netherlands,Oman,2024-11-13,Oman,field,Win,NA,Oman,Hammad Mirza,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,"AT Nidamanuru, MP O'Dowd, Vikramjit Singh, SA Edwards, CN Ackermann, BFW de Leede, NRJ Croes, T van der Gugten, RE van der Merwe, A Dutt, PA van Meekeren","Jatinder Singh, Aamir Kaleem, AR Odedara, Wasim Ali, Hammad Mirza, Sufyan Mehmood, Mehran Khan, B Siddharth, Muzahir Raza, S Shrivastava, Shakeel Ahmed",T20,male,Netherlands tour of Oman
1273730,New Zealand,Pakistan,2021-10-26,Pakistan,field,Win,NA,Pakistan,Haris Rauf,Sharjah Cricket Stadium,Sharjah,"MJ Guptill, DJ Mitchell, KS Williamson, JDS Neesham, DP Conway, GD Phillips, TL Seifert, MJ Santner, IS Sodhi, TG Southee, TA Boult","Mohammad Rizwan, Babar Azam, Fakhar Zaman, Mohammad Hafeez, Shoaib Malik, Imad Wasim, Asif Ali, Shadab Khan, Hasan Ali, Haris Rauf, Shaheen Shah Afridi",T20,male,ICC Men's T20 World Cup
1491903,Pakistan,Bangladesh,2025-07-20,Bangladesh,field,Win,NA,Bangladesh,Parvez Hossain Emon,"Shere Bangla National Stadium, Mirpur",Dhaka,"Fakhar Zaman, Saim Ayub, Mohammad Haris, Agha Salman, Hassan Nawaz, Mohammad Nawaz, Khushdil Shah, Abbas Afridi, Faheem Ashraf, Salman Mirza, Abrar Ahmed","Tanzid Hasan, Parvez Hossain Emon, Liton Das, Towhid Hridoy, Jaker Ali, Shamim Hossain, Mahedi Hasan, Rishad Hossain, Tanzim Hasan Sakib, Mustafizur Rahman, Taskin Ahmed",T20,male,Pakistan tour of Bangladesh
1502048,Zimbabwe,Pakistan,2025-11-18,Pakistan,field,Win,NA,Pakistan,Mohammad Nawaz,Rawalpindi Cricket Stadium,Rawalpindi,"BJ Bennett, T Marumani, BRM Taylor, RP Burl, Sikandar Raza, T Munyonga, T Musekiwa, B Evans, TT Maposa, R Ngarava, AG Cremer","Sahibzada Farhan, Saim Ayub, Babar Azam, Agha Salman, Fakhar Zaman, Usman Khan, Mohammad Nawaz, Faheem Ashraf, Salman Mirza, Shaheen Shah Afridi, Abrar Ahmed",T20,male,Pakistan T20I Tri-Series
1485940,Scotland,Nepal,2025-06-17,Nepal,field,Win,NA,Nepal,S Lamichhane,"Titwood, Glasgow",Glasgow,"HG Munsey, MRJ Watt, BJ McMullen, LR Naylor, FDW McCreath, MA Leask, MH Cross, CM McBride, SM Sharif, J Jarvis, JJ Davidson","K Bhurtel, Lokesh Bam, AK Sah, RK Paudel, DS Airee, Basir Ahamad, K Thagunna, Rupesh Singh, Karan KC, S Lamichhane, LN Rajbanshi",T20,male,Scotland T20 Tri-Series
