year,player,team,batting_war,bowling_war,total_war,runs,balls_faced,strike_rate,balls_bowled,overs,runs_conceded,wickets,economy
2006,Shoaib Akhtar,,0.0,0.13927272727272708,0.13927272727272708,0.0,0.0,,24.0,4.0,33.0,1.0,8.25
2006,S Sreesanth,,0.0,0.039272727272727084,0.039272727272727084,0.0,0.0,,24.0,4.0,34.0,1.0,8.5
2006,JJ van der Wath,South Africa,-0.4593548387096774,0.3785454545454542,-0.08080938416422323,35.0,28.0,125.0,48.0,8.0,59.0,1.0,7.375
2006,JA Rudolph,South Africa,-0.08983870967741936,0.0,-0.08983870967741936,6.0,7.0,85.71428571428571,0.0,,,,
2006,D Ramdin,West Indies,-0.09419354838709673,0.0,-0.09419354838709673,9.0,4.0,225.0,0.0,,,,
2006,SK Raina,India,-0.09419354838709677,0.0,-0.09419354838709677,3.0,4.0,75.0,0.0,,,,
2006,SR Clark,,0.0,-0.12145454545454584,-0.12145454545454584,0.0,0.0,,48.0,8.0,64.0,1.0,8.0
2006,Mohammad Hafeez,Pakistan,-0.13903225806451616,0.0,-0.13903225806451616,46.0,42.0,109.52380952380953,0.0,,,,
2006,IK Pathan,,0.0,-0.1607272727272729,-0.1607272727272729,0.0,0.0,,24.0,4.0,30.0,0.0,7.5
2006,SJ Harmison,,0.0,-0.1607272727272729,-0.1607272727272729,0.0,0.0,,24.0,4.0,30.0,0.0,7.5
2006,DK Butler,,0.0,-0.1705454545454547,-0.1705454545454547,0.0,0.0,,18.0,3.0,23.0,0.0,7.666666666666667
2006,JWM Dalrymple,England,-1.455,1.239272727272727,-0.215727272727273,28.0,31.0,90.32258064516128,24.0,4.0,28.0,2.0,7.0
2006,GC Smith,South Africa,0.5611290322580643,-0.7803636363636365,-0.21923460410557216,127.0,111.0,114.41441441441442,12.0,2.0,22.0,0.0,11.0
2006,V Sehwag,India,-0.25500000000000006,0.0,-0.25500000000000006,34.0,31.0,109.6774193548387,0.0,,,,
2006,L Vincent,New Zealand,-0.34193548387096795,0.0,-0.34193548387096795,42.0,40.0,105.0,0.0,,,,
2006,LE Plunkett,,0.0,-0.3607272727272729,-0.3607272727272729,0.0,0.0,,24.0,4.0,38.0,1.0,9.5
2006,LPC Silva,Sri Lanka,-1.27241935483871,0.9098181818181817,-0.3626011730205282,12.0,19.0,63.1578947368421,6.0,1.0,4.0,1.0,4.0
2006,AJ Strauss,England,-0.3637096774193548,0.0,-0.3637096774193548,33.0,25.0,132.0,0.0,,,,
2006,TM Dilshan,Sri Lanka,-2.2767741935483867,1.904,-0.3727741935483868,5.0,16.0,31.25,33.0,5.5,26.0,1.0,4.7272727272727275
2006,CMW Read,England,-0.3840322580645161,0.0,-0.3840322580645161,13.0,11.0,118.18181818181819,0.0,,,,
2006,AB de Villiers,South Africa,-0.39419354838709675,0.0,-0.39419354838709675,6.0,4.0,150.0,0.0,,,,
2006,SP Fleming,New Zealand,-0.4303225806451607,0.0,-0.4303225806451607,61.0,48.0,127.08333333333333,0.0,,,,
2006,Inzamam-ul-Haq,Pakistan,-0.47677419354838707,0.0,-0.47677419354838707,11.0,16.0,68.75,0.0,,,,
2006,SL Malinga,Sri Lanka,-0.25500000000000006,-0.24109090909090938,-0.49609090909090947,40.0,31.0,129.03225806451613,36.0,6.0,45.0,0.0,7.5
2006,RT Ponting,Australia,-0.5608064516129033,0.0,-0.5608064516129033,33.0,27.0,122.22222222222223,0.0,,,,
2006,Mohammad Yousuf,Pakistan,-0.5709677419354839,0.0,-0.5709677419354839,20.0,20.0,100.0,0.0,,,,
2006,TT Bresnan,England,0.008709677419354911,-0.5803636363636364,-0.5716539589442815,6.0,6.0,100.0,12.0,2.0,20.0,0.0,10.0
2006,Shoaib Malik,Pakistan,-0.5767741935483871,0.0,-0.5767741935483871,16.0,16.0,100.0,0.0,,,,
2006,SM Pollock,South Africa,-0.6695161290322581,0.039272727272727084,-0.630243401759531,26.0,21.0,123.80952380952381,24.0,4.0,34.0,1.0,8.5
2006,S Chanderpaul,West Indies,-0.6608064516129033,0.0,-0.6608064516129033,26.0,27.0,96.29629629629629,0.0,,,,
2006,D Gough,,0.0,-0.6790303030303033,-0.6790303030303033,0.0,0.0,,23.0,3.8333333333333335,34.0,0.0,8.869565217391305
2006,RP Arnold,Sri Lanka,-0.6883870967741935,0.0,-0.6883870967741935,7.0,8.0,87.5,0.0,,,,
2006,Younis Khan,Pakistan,-0.6985483870967741,0.0,-0.6985483870967741,0.0,1.0,0.0,0.0,,,,
2006,AC Gilchrist,Australia,-0.7956451612903226,0.0,-0.7956451612903226,1.0,3.0,33.33333333333333,0.0,,,,
2006,MS Dhoni,India,-0.7970967741935484,0.0,-0.7970967741935484,0.0,2.0,0.0,0.0,,,,
2006,BB McCullum,New Zealand,-0.8100000000000002,0.0,-0.8100000000000002,71.0,62.0,114.51612903225808,0.0,,,,
2006,SI Mahmood,England,-0.09854838709677419,-0.7312727272727273,-0.8298211143695015,0.0,1.0,0.0,42.0,7.0,63.0,1.0,9.0
2006,CK Kapugedera,Sri Lanka,-0.8550000000000001,0.0,-0.8550000000000001,34.0,31.0,109.6774193548387,0.0,,,,
2006,KC Sangakkara,Sri Lanka,-0.8550000000000001,0.0,-0.8550000000000001,34.0,31.0,109.6774193548387,0.0,,,,
2006,JM Kemp,South Africa,-0.8637096774193548,0.0,-0.8637096774193548,22.0,25.0,88.0,0.0,,,,
2006,IR Bell,England,-0.8753225806451613,0.0,-0.8753225806451613,14.0,17.0,82.35294117647058,0.0,,,,
2006,MS Atapattu,Sri Lanka,-0.8883870967741935,0.0,-0.8883870967741935,5.0,8.0,62.5,0.0,,,,
2006,HJH Marshall,New Zealand,-0.8941935483870967,0.0,-0.8941935483870967,1.0,4.0,25.0,0.0,,,,
2006,JAH Marshall,New Zealand,-0.8941935483870967,0.0,-0.8941935483870967,1.0,4.0,25.0,0.0,,,,
2006,NJ Astle,New Zealand,-0.5158064516129031,-0.38884848484848505,-0.9046549364613881,64.0,58.0,110.34482758620689,17.0,2.8333333333333335,30.0,1.0,10.588235294117647
2006,R Telemachus,South Africa,0.20435483870967747,-1.121454545454546,-0.9170997067448685,5.0,3.0,166.66666666666669,48.0,8.0,74.0,1.0,9.25
2006,CL Cairns,New Zealand,-1.385483870967742,0.4392727272727271,-0.9462111436950149,2.0,10.0,20.0,24.0,4.0,24.0,0.0,6.0
2006,WW Hinds,West Indies,-0.9738709677419355,0.0,-0.9738709677419355,14.0,18.0,77.77777777777779,0.0,,,,
2006,HH Dippenaar,South Africa,-0.992741935483871,0.0,-0.992741935483871,1.0,5.0,20.0,0.0,,,,
2006,MF Maharoof,Sri Lanka,-0.5883870967741935,-0.43127272727272725,-1.0196598240469208,8.0,8.0,100.0,42.0,7.0,60.0,1.0,8.571428571428571
2006,D Ganga,West Indies,-1.0550000000000002,0.0,-1.0550000000000002,26.0,31.0,83.87096774193549,0.0,,,,
2006,T Henderson,South Africa,-0.7970967741935484,-0.2607272727272729,-1.0578240469208213,0.0,2.0,0.0,24.0,4.0,31.0,0.0,7.75
2006,PG Fulton,New Zealand,-1.156451612903226,0.0,-1.156451612903226,30.0,30.0,100.0,0.0,,,,
2006,KP Pietersen,England,-1.1753225806451613,0.0,-1.1753225806451613,17.0,17.0,100.0,0.0,,,,
2006,RS Morton,West Indies,-1.185483870967742,0.0,-1.185483870967742,4.0,10.0,40.0,0.0,,,,
2006,D Mongia,India,-1.234677419354839,0.0,-1.234677419354839,38.0,45.0,84.44444444444444,0.0,,,,
2006,DPMD Jayawardene,Sri Lanka,-1.1840322580645162,-0.09018181818181822,-1.2742140762463343,11.0,11.0,100.0,6.0,1.0,8.0,0.0,8.0
2006,GJP Kruger,South Africa,-0.792741935483871,-0.560727272727273,-1.353469208211144,3.0,5.0,60.0,24.0,4.0,34.0,0.0,8.5
2006,LE Bosman,South Africa,-1.3622580645161289,0.0,-1.3622580645161289,24.0,26.0,92.3076923076923,0.0,,,,
2006,JH Kallis,South Africa,-0.38112903225806444,-0.9901818181818183,-1.3713108504398828,15.0,13.0,115.38461538461537,6.0,1.0,17.0,0.0,17.0
2006,LRPL Taylor,New Zealand,-1.4593548387096775,0.0,-1.4593548387096775,25.0,28.0,89.28571428571429,0.0,,,,
2006,GB Hogg,Australia,0.8391935483870967,-2.3803636363636365,-1.5411700879765398,41.0,27.0,151.85185185185185,12.0,2.0,38.0,0.0,19.0
2006,J Botha,South Africa,-0.7941935483870968,-0.8607272727272729,-1.6549208211143696,2.0,4.0,50.0,24.0,4.0,43.0,1.0,10.75
2006,SR Watson,Australia,-0.7912903225806451,-0.8705454545454547,-1.6618357771260999,4.0,6.0,66.66666666666666,18.0,3.0,36.0,1.0,12.0
2006,WU Tharanga,Sri Lanka,-1.741935483870968,0.0,-1.741935483870968,40.0,40.0,100.0,0.0,,,,
2006,PD McGlashan,New Zealand,-2.076774193548387,0.0,-2.076774193548387,7.0,16.0,43.75,0.0,,,,
2006,M Zondeki,South Africa,-0.6985483870967741,-1.4705454545454546,-2.169093841642229,0.0,1.0,0.0,18.0,3.0,42.0,1.0,14.0
2006,M Ntini,,0.0,-2.270545454545455,-2.270545454545455,0.0,0.0,,18.0,3.0,44.0,0.0,14.666666666666666
2006,PDRL Perera,,0.0,-3.0312727272727273,-3.0312727272727273,0.0,0.0,,42.0,7.0,80.0,0.0,11.428571428571429
2007,Shahid Afridi,Pakistan,2.2361371127224787,15.550562770562772,17.78669988328525,123.0,66.0,186.36363636363635,192.0,32.0,225.0,14.0,7.03125
2007,Umar Gul,Pakistan,-0.7776928147659855,17.735382395382395,16.95768958061641,0.0,2.0,0.0,166.0,27.666666666666668,157.0,13.0,5.674698795180722
2007,SR Clark,,0.0,14.944242424242423,14.944242424242423,0.0,0.0,,168.0,28.0,182.0,12.0,6.5
2007,DL Vettori,New Zealand,-1.654238628872775,16.444242424242425,14.79000379536965,41.0,31.0,132.25806451612902,168.0,28.0,161.0,11.0,5.75
2007,RP Singh,India,0.011153592617007246,13.444242424242423,13.455396016859432,1.0,1.0,100.0,168.0,28.0,203.0,13.0,7.25
2007,MG Johnson,Australia,0.17807514831905075,13.217662337662338,13.395737485981389,14.0,7.0,200.0,162.0,27.0,178.0,10.0,6.592592592592593
2007,IK Pathan,India,-0.46539222148978254,12.791082251082253,12.32569002959247,34.0,30.0,113.33333333333333,156.0,26.0,185.0,12.0,7.115384615384615
2007,NW Bracken,Australia,-0.4665392221489782,12.67968253968254,12.213143317533563,4.0,3.0,133.33333333333331,176.0,29.333333333333332,199.0,9.0,6.784090909090909
2007,B Lee,Australia,-0.6550032959789057,11.8784126984127,11.223409402433793,17.0,13.0,130.76923076923077,187.0,31.166666666666668,230.0,10.0,7.379679144385026
2007,M Morkel,South Africa,-0.16653922214897823,11.231601731601733,11.065062509452755,1.0,3.0,33.33333333333333,120.0,20.0,127.0,9.0,6.35
2007,Mohammad Asif,Pakistan,0.31115359261700726,9.469552669552673,9.78070626216968,4.0,1.0,400.0,185.0,30.833333333333332,251.0,10.0,8.14054054054054
2007,Abdur Razzak,Bangladesh,-2.1880817402768624,11.911341991341994,9.723260251065131,7.0,19.0,36.84210526315789,138.0,23.0,142.0,8.0,6.173913043478261
2007,A Symonds,Australia,8.48457481872116,0.30375180375180266,8.788326622472963,251.0,160.0,156.875,125.0,20.833333333333332,208.0,3.0,9.984
2007,Sohail Tanvir,Pakistan,0.15576796308503624,8.311341991341994,8.46710995442703,12.0,5.0,240.0,138.0,23.0,166.0,6.0,7.217391304347826
2007,ML Hayden,Australia,8.186868820039553,0.0,8.186868820039553,302.0,214.0,141.12149532710282,0.0,,,,
2007,Harbhajan Singh,India,-1.2884640738299276,9.217662337662338,7.9291982638324106,8.0,10.0,80.0,162.0,27.0,206.0,8.0,7.62962962962963
2007,A Flintoff,England,-0.9753988134475939,8.584761904761905,7.609363091314311,70.0,56.0,125.0,132.0,22.0,148.0,5.0,6.7272727272727275
2007,SM Pollock,South Africa,-2.132313777191826,9.22779220779221,7.095478430600384,24.0,24.0,100.0,153.0,25.5,216.0,12.0,8.470588235294118
2007,CRD Fernando,Sri Lanka,-0.7776928147659855,7.7721212121212115,6.994428397355226,0.0,2.0,0.0,84.0,14.0,88.0,6.0,6.285714285714286
2007,CH Gayle,West Indies,5.86035596572182,1.06961038961039,6.92996635533221,183.0,113.0,161.94690265486727,27.0,4.5,31.0,0.0,6.888888888888889
2007,DW Steyn,South Africa,0.011153592617007246,6.886060606060606,6.897214198677613,1.0,1.0,100.0,42.0,7.0,26.0,5.0,3.7142857142857144
2007,JA Morkel,South Africa,0.8488200395517467,5.6987012987013,6.547521338253047,130.0,103.0,126.21359223300972,90.0,15.0,112.0,5.0,7.466666666666667
2007,Shakib Al Hasan,Bangladesh,-1.453091628213579,7.651861471861471,6.1987698436478915,67.0,58.0,115.51724137931035,102.0,17.0,117.0,6.0,6.882352941176471
2007,S Sreesanth,India,0.8449967040210943,5.217662337662338,6.062659041683432,20.0,13.0,153.84615384615387,162.0,27.0,234.0,6.0,8.666666666666666
2007,JJ van der Wath,South Africa,-0.566156888595913,6.4316017316017335,5.865444843005821,11.0,12.0,91.66666666666666,120.0,20.0,157.0,6.0,7.85
2007,CD McMillan,New Zealand,5.81497692814766,0.0,5.81497692814766,163.0,91.0,179.12087912087912,0.0,,,,
2007,E Chigumbura,Zimbabwe,-0.11077125906394203,5.586060606060606,5.475289346996664,12.0,8.0,150.0,42.0,7.0,51.0,7.0,7.285714285714286
2007,Yuvraj Singh,India,5.748820039551747,-0.42025974025974017,5.328560299292007,179.0,103.0,173.7864077669903,18.0,3.0,38.0,1.0,12.666666666666666
2007,JM Anderson,England,0.011153592617007246,5.217662337662338,5.228815930279345,1.0,1.0,100.0,162.0,27.0,240.0,7.0,8.88888888888889
2007,WPUJC Vaas,Sri Lanka,-1.031549110085696,6.072121212121212,5.040572102035516,33.0,42.0,78.57142857142857,84.0,14.0,87.0,3.0,6.214285714285714
2007,CP Schofield,England,-0.06577455504284799,5.091111111111113,5.025336556068265,24.0,21.0,114.28571428571428,77.0,12.833333333333334,92.0,4.0,7.1688311688311686
