cricsheet_id,player_id,canonical_name,has_ipl,has_t20i
e938e1bc,P0751,P Kumar,True,True
57efa3be,P0925,SB Styris,True,True
0dc00542,P0998,Shahid Afridi,True,True
de8cce37,P1126,VVS Laxman,True,False
619aa81f,P1161,Wasim Jaffer,True,False
05c2ca46,P0837,Roelof van der Merwe,True,True
95a2ea61,P0911,S Anirudha,True,False
1c2a64cd,P0001,A Ashish Reddy,True,False
c18496e1,P0197,Bipul Sharma,True,False
7c7d63a2,P0028,AJ Tye,True,True
0ebfb1ad,P0325,E Lewis,True,True
765a4731,P0691,Mukesh Choudhary,True,False
e087956b,P0165,BA Stokes,True,True
fb66ce1f,P0215,CH Morris,True,True
5574750c,P0416,JC Archer,True,True
7a8bd078,P0916,S Gopal,True,False
45eda7c8,P0212,CA Lynn,True,True
d4f9dbd4,P0213,CA Pujara,True,False
5056011d,P0344,GJ Bailey,True,True
f5180fe6,P0594,MG Johnson,True,True
26a85969,P0822,Rishi Dhawan,True,True
94d7f855,P0211,Colin De Grandhomme,True,True
a9fd84fb,P0577,M Markande,True,True
21d4e29b,P0725,Navdeep Saini,True,True
ffe699c0,P0218,CJ Jordan,True,True
c3a96caf,P0619,Mandeep Singh,True,False
957532de,P0912,S Aravind,True,True
dc9dd038,P0950,Sachin Baby,True,False
e9c7f0d0,P0336,Fazalhaq Farooqi,True,False
9eb1455b,P0712,Nathan Ellis,True,True
bb965e9a,P0760,PK Garg,True,False
9a158001,P0154,Azhar Mahmood,True,False
fd835ab3,P0261,DJ Hussey,True,True
6eb146d2,P0361,Gurkeerat Singh,True,False
1a0c3177,P0750,P Awana,True,True
12eddf28,P0838,RJ Harris,True,True
b4f5c2d9,P0498,KL Nagarkoti,True,False
5d2eea49,P0515,Kartik Tyagi,True,False
c38d3503,P1025,Shivam Mavi,True,True
12314277,P0130,Arshad Khan,True,False
d45c29b1,P0140,Ashwani Kumar,True,False
119678fd,P0504,KV Sharma,True,True
62af8546,P0673,Mohammed Nabi,True,False
dcf81436,P0917,S Kaul,True,True
cad00a4d,P0845,RR Rossouw,True,True
f088b960,P0935,SN Khan,True,False
063b3673,P0258,DH Yagnik,True,False
28c78fb3,P0381,Harpreet Singh,True,False
7c503806,P0410,J Botha,True,True
45c2196c,P0256,DE Bollinger,True,True
798cc28e,P0487,K M Asif,True,False
ad427b5c,P0561,Lalit Yadav,True,False
c16d4035,P0949,Sam Billings,True,True
0994d0ae,P1121,V Shankar,True,True
efc04be7,P0737,Noor Ahmad,True,False
ad3b6e95,P0055,Abishek Porel,True,False
a2f46292,P0495,KK Ahmed,True,True
2cffab74,P0692,Mukesh Kumar,True,True
f89d3b11,P0965,Sameer Rizvi,True,False
85b3fab2,P1078,T Stubbs,True,True
d0513f63,P0219,CL White,True,True
f846de6a,P0604,MN Samuels,True,True
d718440b,P1136,Veer Pratap Singh,True,False
2af1b6d2,P0034,AN Ahmed,True,False
7050a1e7,P0254,DB Das,True,False
d2c2b2d5,P0941,SR Tendulkar,True,True
bd77eb62,P0011,A Symonds,True,True
2a72fd4f,P0378,Himmat Singh,True,False
6afb26d6,P0591,MD Mishra,True,False
bcce309e,P1165,WPUJC Vaas,True,True
5f4e9e8f,P0844,RR Raje,True,False
4e04666c,P1183,Yogesh Takawale,True,False
9b4935c8,P0217,CJ Ferguson,True,True
4ec07775,P0840,RN ten Doeschate,True,True
541f85c9,P0938,SP Goswami,True,False
b8d490fd,P0027,AJ Finch,True,True
8d2c70ad,P0536,Kuldeep Yadav,True,True
9061a703,P0411,Joshua Little,True,True
2a2e6343,P0271,Daniel Christian,True,True
b2a79f17,P0183,Ben Laughlin,True,True
cedc1d9a,P0754,P Suyal,True,False
b63e358a,P0839,Ricky Bhui,True,False
8998a68f,P1062,Sumit Kumar,True,False
f10e94c4,P0024,AD Nath,True,False
e798611a,P0369,HM Amla,True,True
edb3d4f8,P0480,K C Cariappa,True,False
855a210c,P0035,AP Tare,True,False
aedc3b7c,P0711,NS Naik,True,False
da934ee8,P0597,MK Lomror,True,False
a97c8ec2,P0766,PWH de Silva,True,True
1647bd37,P0513,Karanveer Singh,True,False
7f048519,P0263,DJ Willey,True,True
faa7365d,P0268,Dhruv Shorey,True,False
e4cdf230,P0039,AS Roy,True,False
650d5e49,P0826,R Powell,True,True
0bacade8,P0851,Rahmanullah Gurbaz,True,False
557153ca,P0496,KK Cooper,True,False
d84378a4,P0574,M Kaif,True,False
dc4686e6,P0164,BA Bhatt,True,False
8abdf100,P0216,CJ Anderson,True,True
b720a5d6,P0255,DB Ravi Teja,True,False
dded65e7,P0396,IR Jaggi,True,False
acee4cc4,P0399,Imran Tahir,True,True
af7dadf7,P0157,B Akhil,True,False
d7b3a420,P0445,Jaskaran Singh,True,True
ef5da05c,P0026,AG Murtaza,True,False
af2c687b,P0210,C Munro,True,True
e342e5fb,P0220,CR Brathwaite,True,True
c8f5f961,P0123,Anuj Rawat,True,False
9385de2e,P0944,SS Prabhudessai,True,False
d92e42f5,P0501,KP Appanna,True,False
e03b66ec,P0669,Mohammed Asif,True,True
64d43928,P1046,Sohail Tanvir,True,True
93a17209,P1127,VY Mahesh,True,False
44a89551,P0489,K S Bharat,True,False
9b6e1b3f,P0437,Jake Fraser-McGurk,True,True
