year,player_id,player_name,team,final_price_lakh,log_price,ipl_war_lag1,ipl_war_lag2,ipl_war_lag3,ipl_career_war,ipl_seasons_played,ipl_matches_lag1,t20i_war_12m,t20i_war_24m,t20i_career_war,ipl_war_trend,ipl_war_avg_3y,is_indian,is_mega_auction,is_retained,role_batsman,role_bowler,role_allrounder,role_wk,nationality,role,status,next_season_war
2008,P1165,WPUJC Vaas,DCH,,,,,,,,,4.800715127544395,4.349806036635304,4.349806036635304,,,0,1,1,0,0,0,0,,,RETAINED,0.975698817273587
2008,P1161,Wasim Jaffer,RCB,100.0,4.605170185988092,,,,,,,,,,,,1,1,0,1,0,0,0,Indian,Batsman,SOLD,
2008,P1175,Wriddhiman Saha,KKR,10.0,2.302585092994046,,,,,,,,,,,,1,1,0,0,0,0,1,Indian,Wicket-Keeper,SOLD,
2008,P1179,Y Venugopal Rao,DCH,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,9.02106327057053
2008,P1183,YV Takawale,MI,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,0.5239022702104101
2008,P1181,Yusuf Pathan,RR,215.0,5.3706380281276624,,,,,,,,,,,,1,1,0,0,0,1,0,Indian,All-Rounder,SOLD,
2008,P1194,Yuvraj Singh,PBKS,125.0,4.8283137373023015,,,,,,,9.660700374115008,,9.660700374115008,,,1,1,0,0,0,1,0,Indian,All-Rounder,SOLD,14.171554256848522
2008,P1197,Zaheer Khan,RCB,200.0,5.298317366548036,,,,,,,,,,,,1,1,0,0,1,0,0,Indian,Bowler,SOLD,
2009,P0004,A Chopra,KKR,,,-1.3070344222960504,,,-1.3070344222960504,1.0,1.8333333333333333,,,,,-1.3070344222960504,0,0,1,0,0,0,0,,,RETAINED,-0.8852052995941757
2009,P0005,A Kumble,RCB,,,3.3017406179495863,,,3.3017406179495863,1.0,8.433333333333334,,,,,3.3017406179495863,0,0,1,0,0,0,0,,,RETAINED,15.849189369047068
2009,P0007,A Mishra,DC,,,4.504571191344493,,,4.504571191344493,1.0,5.5,,,,,4.504571191344493,0,0,1,0,0,0,0,,,RETAINED,7.571949457903045
2009,P0010,A Singh,RR,,,,,,,,,,,,,,0,0,1,0,0,0,0,,,RETAINED,5.288986606023479
2009,P0011,A Symonds,DCH,,,1.6499846160899914,,,1.6499846160899914,1.0,5.166666666666667,11.735408278091205,15.581676606536952,18.023976927721904,,1.6499846160899914,0,0,1,0,0,0,0,,,RETAINED,16.283362052409085
2009,P0013,AA Bilakhia,DCH,,,,,,,,,,,,,,0,0,1,0,0,0,0,,,RETAINED,-1.1178622582955366
2009,P0015,AB Agarkar,KKR,,,5.110317993875201,,,5.110317993875201,1.0,7.233333333333333,0.5441627642847158,1.5123445824665336,1.5123445824665336,,5.110317993875201,0,0,1,0,0,0,0,,,RETAINED,-1.4473480530141467
2009,P0016,AB Dinda,KKR,,,11.11464080902051,,,11.11464080902051,1.0,8.3,,,,,11.11464080902051,0,0,1,0,0,0,0,,,RETAINED,0.7738440662234085
2009,P0017,AB McDonald,DC,,,,,,,,,,,,,,0,0,1,0,0,0,0,,,RETAINED,0.201503923420669
2009,P0018,AB de Villiers,DC,,,-0.0468807678110003,,,-0.0468807678110003,1.0,3.3333333333333335,2.142045454545454,3.4530705039851375,3.7103285685012666,,-0.0468807678110003,0,0,1,0,0,0,0,,,RETAINED,17.55431487228455
2009,P0020,AC Gilchrist,DCH,,,15.39623108157992,,,15.39623108157992,1.0,10.933333333333334,0.7124999999999999,11.69321852340145,10.721561869359398,,15.39623108157992,0,0,1,0,0,0,0,,,RETAINED,23.790540701838147
2009,P0022,AD Mascarenhas,RR,,,0.8464042365070535,,,0.8464042365070535,1.0,1.1,6.541477272727272,7.15794218553365,7.15794218553365,,0.8464042365070535,0,0,1,0,0,0,0,,,RETAINED,3.359889558423717
2009,P0032,AM Nayar,MI,,,8.022195390151305,,,8.022195390151305,1.0,6.166666666666667,,,,,8.022195390151305,0,0,1,0,0,0,0,,,RETAINED,9.063851356875244
2009,P0033,AM Rahane,MI,,,-1.76515734588409,,,-1.76515734588409,1.0,0.6333333333333333,,,,,-1.76515734588409,0,0,1,0,0,0,0,,,RETAINED,3.919201077043778
2009,P0038,AS Raut,RR,,,,,,,,,,,,,,0,0,1,0,0,0,0,,,RETAINED,1.8173927541049355
2009,P0100,Andrew Flintoff,CSK,744.0,6.612041034833092,,,,,,,,,,,,0,0,0,0,0,0,0,Overseas,,SOLD,
2009,P0105,Angelo Mathews,KKR,,,,,,,,,,,,,,0,0,1,0,0,0,0,Overseas,,RETAINED,
2009,P0118,Anureet Singh,PBKS,,,,,,,,,,,,,,1,0,1,0,1,0,0,Indian,Bowler,RETAINED,-0.1544150314698251
2009,P0136,Ashish Nehra,DC,,,,,,,,,,,,,,1,0,1,0,1,0,0,Indian,Bowler,RETAINED,
2009,P0157,B Akhil,RCB,,,3.7956478856145983,,,3.7956478856145983,1.0,4.566666666666666,,,,,3.7956478856145983,0,0,1,0,0,0,0,,,RETAINED,1.9262581964594256
2009,P0160,B Lee,PBKS,,,3.724549296316917,,,3.724549296316917,1.0,3.7666666666666666,0.75,8.779261753042242,11.365784220485608,,3.724549296316917,0,0,1,0,0,0,0,,,RETAINED,7.797223102607644
2009,P0166,BAW Mendis,KKR,,,1.368148510014656,,,1.368148510014656,1.0,0.8,1.625,,1.625,,1.368148510014656,0,0,1,0,0,0,0,,,RETAINED,0.0487446406108148
2009,P0167,BB McCullum,KKR,,,12.05499446290144,,,12.05499446290144,1.0,3.2,4.225,7.912458800263677,10.623769529008614,,12.05499446290144,0,0,1,0,0,0,0,,,RETAINED,7.723454285032226
2009,P0170,BJ Hodge,KKR,,,-0.6459385382059804,,,-0.6459385382059804,1.0,0.6,0.1534090909090908,3.0289726890336643,3.0289726890336643,,-0.6459385382059804,0,0,1,0,0,0,0,,,RETAINED,9.620803387585603
2009,P0236,Chris Gayle,KKR,,,,,,,,,,,,,,0,0,1,1,0,0,0,Overseas,Batsman,RETAINED,
2009,P0255,DB Ravi Teja,DCH,,,3.300475602367978,,,3.300475602367978,1.0,3.2333333333333334,,,,,3.300475602367978,0,0,1,0,0,0,0,,,RETAINED,0.1012711864406767
2009,P0259,DJ Bravo,MI,,,8.985143361126127,,,8.985143361126127,1.0,10.6,3.4119318181818183,-0.47180642592227917,0.29828643820284273,,8.985143361126127,0,0,1,0,0,0,0,,,RETAINED,5.781111393983412
2009,P0261,DJ Hussey,KKR,,,5.672067195409536,,,5.672067195409536,1.0,11.533333333333333,1.6556818181818185,,1.6556818181818185,,5.672067195409536,0,0,1,0,0,0,0,,,RETAINED,5.312686313098188
