ipl_name,cricsheet_id
RR Sarwan,36d33dd0
P Dubey,ed5a5510
SH Johnson,83c3e8e3
Sonu Yadav,6ab96cc2
A Nel,2503e881
M Tiwari,fb5f69e4
MDKJ Perera,f21043a5
VH Zol,6dbcf855
AB McDonald,16043342
SSB Magala,8361e524
Abhinandan Singh,82c10dac
JA Duffy,dadbdb68
PR Veer,e148e6bd
H Sharma,52294a79
Mayank Dagar,a457cfb5
Saurav Chauhan,9e7225b0
KH Devdhar,62e07f92
GF Linde,e5437608
MP Yadav,b1ad996b
Tanay Thyagarajan,f1809c03
SM Boland,d167edd3
SS Mundhe,0af3426f
YV Dhull,dd7e9b3b
Urvil Patel,cf59b3f0
RR Bhatkal,7d3720ba
KAJ Roach,78eb4223
Tejas Baroka,c28e9f12
R Sanjay Yadav,33ffc3dd
A Mukund,6165bca6
A Flintoff,ddc0828d
T Thushara,b2ae53f5
JJ van der Wath,6821ac10
R Ninan,ce4cc4d5
T Vijay,51ec3919
S Banerjee,abde8fb9
Shoaib Akhtar,10a91f35
Sediqullah Atal,3c28853f
Arshad Khan (2),12314277
S Joseph,97290faf
PSP Handscomb,ada15e88
T Kohler-Cadmore,f836b33d
MD Shanaka,3ff033bb
VN Kulkarni,0b126008
Sunny Gupta,ee3dfa89
T Banton,25f7b7d6
Shivam Sharma,6f49cc6e
VD Nerurkar,8647d51d
AA Noffke,b69e69ed
Musheer Khan,d621b427
LB Williams,a1d95bd8
PH Solanki,c695b423
R Goyal,266849c1
SS Sarkar,caa89a48
SS Shaikh,5f5d3ad4
T Henderson,0a4ebc61
BR Sharath,c2dd89ea
F Behardien,dce2019b
MJ Suthar,025c4400
KS Sharma,39ed0d2f
AT Carey,69d03465
SK Porel,350a07a7
RS Gavaskar,9ff100a6
C Madan,2eeb4370
HE van der Dussen,9948e262
L Wood,65b6943c
S Arora,d7423da1
AM Ghazanfar,9ca68676
DJ Malan,ad9c32a2
C Ganapathy,798934ea
MJ Owen,f2c936d7
P Ray Barman,441c72ae
A Tomar,aa5d8c9e
S Sriram,64a4c383
MP Breetzke,35f173a0
KA Maharaj,0b60eb09
Tanush Kotian,5724e517
D du Preez,d7a57f75
Liton Das,0404d43c
AK Mitra,4e11e004
R Bishnoi,4d5a1617
AJ Hosein,4d7f517e
HS Sekhon,58b66172
A Dananjaya,5b16a806
P Nissanka,8ee36b18
Jalaj S Saxena,249abedf
LI Meriwala,d3611425
Mashrafe Mortaza,e186f49c
RW Price,67af6f81
Auqib Nabi,7c3c0337
Gurjapneet Singh,cc61ee8f
Milind Kumar,b4296080
Mohit Rathee,9a5f2863
JL Denly,bdadf7da
B Muzarabani,449f4e3c
DA Payne,6c79c098
MB Parmar,86ae8ef2
GR Napier,611926bc
SA Satbhai,1b80ebeb
PM Sarvesh Kumar,4b4d1957
Mohammad Ashraful,2bb09eb2
RA Shaikh,7c390b03
Jasbir Singh,6043dfe7
AV Wankhade,5708d0b6
V Kaverappa,d4d929b0
AR Bawne,afe3355a
DR Martyn,69762509
MG Neser,0164b064
F Gomes,3134d083
Monu Kumar,fb24e76c
MR Singh,5d58ac60
DAJ Bracewell,2e9fdf9b
Shivam Singh,e1d9ae9c
IC Porel,fdf7491e
RV Pawar,c9d33ef5
T Mishra,c9cac448
Gurnoor Brar,99258814
KS Rathore,e3851766
Subhransu Senapati,0edcb652
S Midhun,ade90de7
