,Name,Role,Country,Status,Base_Price(Lakh),Final_Price(Lakh),Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Balls,Wkts,BBI,BBM,Econ,4w,5w
113,Adam Milne,Bowler , New Zealand,SOLD,50,300,MI,108,45,28,2923,18*,24.15,203,18.9,0,0,20,5,27,0,2293,121,5/11,5/11,7.64,2,1
114,Kusal Perera,WK-Batsman , Sri Lanka,UNSOLD,50,-,-,109,105,4,-,87,-,1859,-,0,20,230,96,38,19,-,-,-,-,-,-,-
115,Alex Carey,WK-Batsman , Australia,UNSOLD,100,-,-,92,78,9,-,101,-,1624,-,2,10,195,60,68,13,-,-,-,-,-,-,-
116,Glenn Phillips,WK-Batsman , New Zealand,UNSOLD,50,-,-,111,105,8,128,116*,42.66,2114,28.0,4,17,250,149,62,8,84,3,2/22,2/22,9.14,0,0
117,Dawid Malan,Batsman , England,SOLD,100,100,PBKS,224,219,35,722,117,31.39,4776,24.6,5,35,614,183,79,0,567,23,2/10,2/10,7.64,0,0
118,Chris Morris,Bowling Allrounder , South Africa,SOLD,75,1600,RR,223,146,58,6065,82*,22.05,1196,17.1,0,3,126,90,100,0,4716,275,4/9,4/9,7.71,8,0
119,Shivam Dube,Bowling Allrounder , India,SOLD,50,400,RR,55,48,13,914,63,28.56,507,19.7,0,2,38,44,18,0,633,32,3/27,3/27,8.66,0,0
120,Moeen Ali,Batting Allrounder , England,SOLD,200,700,CSK,167,158,16,2966,121*,26.96,2506,21.0,2,19,346,154,54,0,2315,110,5/34,5/34,7.68,1,1
121,Shakib Al Hasan,Batting Allrounder , Bangladesh,SOLD,200,300,KKR,317,290,45,7663,86*,21.28,4161,18.5,0,19,474,126,80,0,6691,360,6/6,6/6,6.87,8,4
122,Glenn Maxwell,Batting Allrounder , Australia,SOLD,200,1400,RCB,306,286,39,3456,145*,31.41,4380,24.4,3,38,539,337,157,0,2690,110,3/10,3/10,7.70,0,0
123,Aaron Finch,Batsman , Australia,UNSOLD,100,-,-,319,314,33,359,172,51.28,6866,33.2,8,63,943,396,140,0,233,7,1/9,1/9,9.24,0,0
124,Evin Lewis,Batsman , West Indies,UNSOLD,100,-,-,161,157,9,-,125*,-,3163,-,4,30,366,304,46,0,-,-,-,-,-,-,-
125,Steven Smith,Batsman , Australia,SOLD,200,200,DC,209,185,40,1056,101,19.55,3511,15.2,1,21,393,103,111,0,824,54,4/13,4/13,7.68,2,0
126,Jason Roy,Batsman , England,UNSOLD,200,-,-,231,226,11,39,122*,39.00,4194,18.0,4,40,657,222,104,0,18,1,1/23,1/23,13.00,0,0
127,Alex Hales,Batsman , England,UNSOLD,100,-,-,290,287,20,7,116*,-,5574,-,4,51,886,310,144,0,3,0,-,-,14.00,0,0
